"orderID";"customerID";"product";"quantity";"unitprice";"totalprice";"orderstatus";"couponcode";"referral_source";"order_date";"Items_In_Cart";"payment_method";"shipping_add";"tracking_no"
"ORD200000";"C72649";"Monitor";5;570.62;2853.1;"Shipped";"SAVE10";"Instagram";"2023-01-04";7;"Debit Card";"928 Main St";"TRK37947903"
"ORD200001";"C75739";"Phone";2;151.35;302.7;"Shipped";"SAVE10";"Referral";"2024-08-23";3;"Online";"823 Main St";"TRK91186779"
"ORD200002";"C81728";"Tablet";5;550.68;2753.4;"Cancelled";"FREESHIP";"Email";"2024-02-27";8;"Credit Card";"512 Main St";"TRK42903982"
"ORD200003";"C33540";"Chair";1;273.19;273.19;"Returned";"SAVE10";"Facebook";"2023-10-15";5;"Debit Card";"275 Main St";"TRK62788070"
"ORD200004";"C81840";"Printer";4;626.01;2504.04;"Delivered";"SAVE10";"Email";"2025-05-08";8;"Online";"668 Main St";"TRK29241424"
"ORD200005";"C37249";"Phone";2;245.86;491.72;"Shipped";"SAVE10";"Instagram";"2023-10-23";4;"Credit Card";"934 Main St";"TRK72976927"
"ORD200006";"C83492";"Laptop";1;664.42;664.42;"Returned";"SAVE10";"Facebook";"2025-06-17";6;"Gift Card";"986 Main St";"TRK96417362"
"ORD200007";"C41460";"Monitor";5;149.55;747.75;"Shipped";"FREESHIP";"Facebook";"2023-05-12";9;"Cash";"706 Main St";"TRK78809193"
"ORD200008";"C26817";"Phone";2;134.28;268.56;"Cancelled";"no code";"Email";"2025-04-02";2;"Gift Card";"904 Main St";"TRK61042692"
"ORD200009";"C31946";"Desk";4;509.38;2037.52;"Shipped";"SAVE10";"Google";"2023-11-21";6;"Credit Card";"102 Main St";"TRK33478363"
"ORD200010";"C43443";"Tablet";5;625.97;3129.85;"Returned";"WINTER15";"Instagram";"2023-12-29";9;"Credit Card";"333 Main St";"TRK98859248"
"ORD200011";"C93861";"Monitor";3;49.14;147.42;"Returned";"SAVE10";"Email";"2024-02-17";7;"Online";"831 Main St";"TRK48234646"
"ORD200012";"C38785";"Monitor";2;180.5;361.0;"Pending";"FREESHIP";"Referral";"2024-10-15";6;"Debit Card";"179 Main St";"TRK20419991"
"ORD200013";"C88348";"Laptop";3;201.49;604.47;"Returned";"FREESHIP";"Facebook";"2023-08-30";4;"Credit Card";"903 Main St";"TRK81913874"
"ORD200014";"C98474";"Tablet";2;393.33;786.66;"Pending";"SAVE10";"Instagram";"2023-03-27";3;"Debit Card";"980 Main St";"TRK79186539"
"ORD200015";"C39416";"Printer";1;473.96;473.96;"Delivered";"no code";"Google";"2023-07-17";3;"Cash";"942 Main St";"TRK54930938"
"ORD200016";"C28976";"Printer";2;533.81;1067.62;"Pending";"FREESHIP";"Email";"2023-01-24";3;"Credit Card";"914 Main St";"TRK13194259"
"ORD200017";"C60672";"Tablet";1;423.4;423.4;"Shipped";"no code";"Referral";"2024-03-02";3;"Debit Card";"382 Main St";"TRK11972116"
"ORD200018";"C84329";"Desk";1;431.44;431.44;"Pending";"SAVE10";"Facebook";"2025-03-26";3;"Gift Card";"891 Main St";"TRK65191045"
"ORD200019";"C14552";"Monitor";5;224.0;1120.0;"Returned";"SAVE10";"Google";"2023-01-23";9;"Cash";"273 Main St";"TRK59101365"
"ORD200020";"C54829";"Chair";5;62.51;312.55;"Pending";"WINTER15";"Instagram";"2023-05-08";9;"Cash";"587 Main St";"TRK16718651"
"ORD200021";"C99023";"Monitor";4;342.95;1371.8;"Delivered";"no code";"Google";"2024-11-17";6;"Cash";"569 Main St";"TRK52646983"
"ORD200022";"C34416";"Monitor";2;49.62;99.24;"Pending";"SAVE10";"Google";"2023-01-29";2;"Online";"633 Main St";"TRK75937350"
"ORD200023";"C42372";"Phone";4;273.25;1093.0;"Cancelled";"FREESHIP";"Referral";"2025-04-09";5;"Debit Card";"755 Main St";"TRK36168083"
"ORD200024";"C17470";"Laptop";2;230.95;461.9;"Delivered";"WINTER15";"Referral";"2024-10-30";3;"Online";"956 Main St";"TRK28775057"
"ORD200025";"C42577";"Monitor";1;399.98;399.98;"Delivered";"WINTER15";"Email";"2024-07-24";3;"Debit Card";"709 Main St";"TRK69423327"
"ORD200026";"C21944";"Laptop";5;59.55;297.75;"Delivered";"no code";"Referral";"2024-03-06";6;"Online";"296 Main St";"TRK80276812"
"ORD200027";"C97593";"Printer";1;472.74;472.74;"Shipped";"WINTER15";"Google";"2024-02-22";6;"Online";"881 Main St";"TRK89117573"
"ORD200028";"C59823";"Phone";4;160.07;640.28;"Pending";"no code";"Email";"2023-11-21";5;"Online";"568 Main St";"TRK65895539"
"ORD200029";"C33260";"Desk";3;423.53;1270.59;"Delivered";"SAVE10";"Referral";"2024-09-20";6;"Credit Card";"930 Main St";"TRK59744090"
"ORD200030";"C44267";"Monitor";2;426.7;853.4;"Pending";"SAVE10";"Referral";"2025-03-22";5;"Online";"895 Main St";"TRK54751444"
"ORD200031";"C26445";"Chair";3;500.08;1500.24;"Returned";"no code";"Facebook";"2023-06-30";6;"Debit Card";"996 Main St";"TRK31229981"
"ORD200032";"C12388";"Tablet";5;536.72;2683.6;"Delivered";"no code";"Email";"2023-05-01";10;"Cash";"830 Main St";"TRK99261395"
"ORD200033";"C52184";"Chair";1;162.77;162.77;"Cancelled";"WINTER15";"Facebook";"2023-06-05";4;"Online";"912 Main St";"TRK73312471"
"ORD200034";"C67195";"Chair";4;576.52;2306.08;"Pending";"WINTER15";"Facebook";"2023-01-07";5;"Credit Card";"926 Main St";"TRK55467915"
"ORD200035";"C50304";"Monitor";2;465.15;930.3;"Shipped";"SAVE10";"Facebook";"2024-12-07";2;"Online";"128 Main St";"TRK46850888"
"ORD200036";"C59337";"Laptop";2;534.43;1068.86;"Pending";"no code";"Facebook";"2025-05-08";5;"Debit Card";"465 Main St";"TRK50961250"
"ORD200037";"C10054";"Laptop";2;76.74;153.48;"Returned";"SAVE10";"Instagram";"2024-10-14";7;"Cash";"409 Main St";"TRK94005261"
"ORD200038";"C15924";"Laptop";1;245.89;245.89;"Delivered";"SAVE10";"Google";"2024-12-19";3;"Debit Card";"549 Main St";"TRK14835975"
"ORD200039";"C96664";"Printer";3;256.46;769.38;"Delivered";"SAVE10";"Referral";"2025-02-27";4;"Credit Card";"666 Main St";"TRK85508960"
"ORD200040";"C84766";"Desk";2;344.02;688.04;"Delivered";"FREESHIP";"Instagram";"2023-08-20";4;"Online";"267 Main St";"TRK78967923"
"ORD200041";"C20212";"Monitor";3;611.45;1834.35;"Pending";"FREESHIP";"Instagram";"2023-12-05";4;"Gift Card";"657 Main St";"TRK69733327"
"ORD200042";"C28712";"Printer";2;151.66;303.32;"Cancelled";"no code";"Instagram";"2024-05-06";6;"Cash";"980 Main St";"TRK40772558"
"ORD200043";"C60572";"Chair";3;499.21;1497.63;"Cancelled";"no code";"Instagram";"2023-12-14";8;"Online";"871 Main St";"TRK20351666"
"ORD200044";"C73225";"Phone";2;550.18;1100.36;"Returned";"FREESHIP";"Referral";"2025-04-21";3;"Gift Card";"996 Main St";"TRK73848522"
"ORD200045";"C17388";"Chair";1;317.25;317.25;"Returned";"SAVE10";"Facebook";"2024-02-10";1;"Debit Card";"157 Main St";"TRK47077395"
"ORD200046";"C43212";"Monitor";4;550.14;2200.56;"Pending";"FREESHIP";"Instagram";"2024-06-26";4;"Debit Card";"223 Main St";"TRK25100762"
"ORD200047";"C38134";"Desk";2;209.94;419.88;"Returned";"FREESHIP";"Email";"2023-07-19";3;"Credit Card";"323 Main St";"TRK42450754"
"ORD200048";"C12408";"Monitor";2;80.77;161.54;"Shipped";"no code";"Google";"2023-08-26";4;"Debit Card";"464 Main St";"TRK38938858"
"ORD200049";"C11985";"Printer";1;30.44;30.44;"Shipped";"SAVE10";"Email";"2023-10-07";1;"Credit Card";"633 Main St";"TRK53272402"
"ORD200050";"C96494";"Tablet";1;179.22;179.22;"Cancelled";"FREESHIP";"Instagram";"2023-07-31";6;"Online";"446 Main St";"TRK14675049"
"ORD200051";"C36778";"Tablet";1;388.33;388.33;"Returned";"SAVE10";"Facebook";"2024-12-30";2;"Cash";"434 Main St";"TRK67610289"
"ORD200052";"C30513";"Tablet";1;586.44;586.44;"Returned";"SAVE10";"Facebook";"2024-09-08";5;"Online";"232 Main St";"TRK64320429"
"ORD200053";"C67551";"Phone";4;488.78;1955.12;"Returned";"FREESHIP";"Google";"2024-05-18";5;"Online";"512 Main St";"TRK94992552"
"ORD200054";"C48120";"Chair";1;280.25;280.25;"Pending";"WINTER15";"Email";"2025-03-27";5;"Online";"623 Main St";"TRK11014449"
"ORD200055";"C95984";"Printer";3;344.4;1033.2;"Cancelled";"no code";"Facebook";"2025-06-24";3;"Online";"565 Main St";"TRK67434829"
"ORD200056";"C54298";"Tablet";3;479.21;1437.63;"Cancelled";"WINTER15";"Referral";"2023-05-21";5;"Cash";"566 Main St";"TRK62902341"
"ORD200057";"C88036";"Printer";5;314.27;1571.35;"Returned";"SAVE10";"Instagram";"2023-01-22";6;"Cash";"842 Main St";"TRK52470128"
"ORD200058";"C60190";"Phone";4;474.69;1898.76;"Cancelled";"SAVE10";"Google";"2023-01-15";6;"Gift Card";"202 Main St";"TRK70857868"
"ORD200059";"C97603";"Chair";4;593.27;2373.08;"Shipped";"no code";"Facebook";"2024-09-11";5;"Online";"811 Main St";"TRK47055028"
"ORD200060";"C39256";"Desk";1;417.1;417.1;"Returned";"FREESHIP";"Referral";"2024-08-21";3;"Debit Card";"634 Main St";"TRK23412025"
"ORD200061";"C61618";"Desk";4;122.2;488.8;"Delivered";"FREESHIP";"Facebook";"2024-03-24";7;"Cash";"104 Main St";"TRK43458485"
"ORD200062";"C36497";"Desk";2;43.15;86.3;"Pending";"WINTER15";"Email";"2023-08-22";3;"Debit Card";"691 Main St";"TRK12102911"
"ORD200063";"C96695";"Chair";1;564.86;564.86;"Shipped";"WINTER15";"Referral";"2025-02-02";6;"Debit Card";"813 Main St";"TRK64283851"
"ORD200064";"C49720";"Printer";3;130.61;391.83;"Cancelled";"FREESHIP";"Facebook";"2025-06-25";4;"Debit Card";"752 Main St";"TRK55785217"
"ORD200065";"C97735";"Monitor";5;81.7;408.5;"Delivered";"no code";"Instagram";"2023-12-30";6;"Credit Card";"385 Main St";"TRK13743703"
"ORD200066";"C18104";"Chair";5;127.18;635.9;"Cancelled";"SAVE10";"Referral";"2024-11-15";9;"Cash";"715 Main St";"TRK15488568"
"ORD200067";"C25587";"Printer";4;12.1;48.4;"Cancelled";"no code";"Google";"2024-12-09";8;"Debit Card";"440 Main St";"TRK55105323"
"ORD200068";"C41598";"Chair";3;490.92;1472.76;"Pending";"FREESHIP";"Email";"2023-12-11";5;"Credit Card";"709 Main St";"TRK81665940"
